NTASData [id=16593934047, subwayLine=BD, stationId=CHE1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=10.397206811145512, timeString=10.40, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934048, subwayLine=BD, stationId=PAP1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=4.620131517027865, timeString=04.62, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934049, subwayLine=BD, stationId=PAP1, trainId=204, trainMessage=Arriving, trainDirection=East, timeInt=7.473033808049536, timeString=07.47, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934050, subwayLine=BD, stationId=PAP1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=11.366316408668732, timeString=11.37, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934051, subwayLine=BD, stationId=DON1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=5.558808297213622, timeString=05.56, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934052, subwayLine=BD, stationId=DON1, trainId=204, trainMessage=Arriving, trainDirection=East, timeInt=8.411710588235294, timeString=08.41, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934053, subwayLine=BD, stationId=DON1, trainId=205, trainMessage=Arriving, trainDirection=East, timeInt=12.30499318885449, timeString=12.30, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934054, subwayLine=BD, stationId=GWD1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=0.6046930030959754, timeString=00.60, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934055, subwayLine=BD, stationId=GWD1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=6.688574860681115, timeString=06.69, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934056, subwayLine=BD, stationId=GWD1, trainId=204, trainMessage=Arriving, trainDirection=East, timeInt=9.541477151702788, timeString=09.54, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934057, subwayLine=BD, stationId=COX1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=1.5589400619195048, timeString=01.56, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934058, subwayLine=BD, stationId=COX1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=7.6428219195046445, timeString=07.64, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934059, subwayLine=BD, stationId=COX1, trainId=204, trainMessage=Arriving, trainDirection=East, timeInt=10.495724210526317, timeString=10.50, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934060, subwayLine=BD, stationId=WDB1, trainId=201, trainMessage=AtStation, trainDirection=East, timeInt=0.0, timeString=00.00, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934061, subwayLine=BD, stationId=WDB1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=2.994308730650155, timeString=02.99, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934062, subwayLine=BD, stationId=WDB1, trainId=203, trainMessage=Arriving, trainDirection=East, timeInt=9.078190588235294, timeString=09.08, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934063, subwayLine=BD, stationId=MST1, trainId=201, trainMessage=Arriving, trainDirection=East, timeInt=1.724834303405573, timeString=01.72, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
NTASData [id=16593934064, subwayLine=BD, stationId=MST1, trainId=202, trainMessage=Arriving, trainDirection=East, timeInt=4.719143034055728, timeString=04.72, trainDestination=KEN1, createDate=Sun Sep 17 11:19:18 EDT 2017, systemMessageType=Normal]
