NTASData [id=16595046736, subwayLine=YUS, stationId=SCW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=13.986668888888888, timeString=13.99, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16595046737, subwayLine=YUS, stationId=SCW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=15.870526666666667, timeString=15.87, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16595046738, subwayLine=YUS, stationId=EGW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=15.288511111111113, timeString=15.29, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16595046739, subwayLine=YUS, stationId=EGW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=18.79984, timeString=18.80, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16595046740, subwayLine=YUS, stationId=EGW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=20.683697777777777, timeString=20.68, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16595046741, subwayLine=YUS, stationId=GCN2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=17.108151111111113, timeString=17.11, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16595046742, subwayLine=YUS, stationId=GCN2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=20.61948, timeString=20.62, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16595046743, subwayLine=YUS, stationId=GCN2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=22.50333777777778, timeString=22.50, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16595046744, subwayLine=YUS, stationId=LWW2, trainId=3, trainMessage=Arriving, trainDirection=South, timeInt=18.472284444444444, timeString=18.47, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16595046745, subwayLine=YUS, stationId=LWW2, trainId=118, trainMessage=Arriving, trainDirection=South, timeInt=21.983613333333334, timeString=21.98, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
NTASData [id=16595046746, subwayLine=YUS, stationId=LWW2, trainId=119, trainMessage=Arriving, trainDirection=South, timeInt=23.867471111111115, timeString=23.87, trainDestination=SHW2, createDate=Sun Sep 17 12:44:40 EDT 2017, systemMessageType=Normal]
